Timestamp,What is your favorite Pokemon?,What is your least favorite Pokemon?,What Main Series Games have you played?,What is your Favorite Main Series Game?,What is your favorite Pokemon Type?,What is your least favorite Type?,What is your favorite Pokemon from Kanto?,Who is your favorite Kanto Gym Leader?,Who is your favorite member of the Kanto Elite Four?,What is your favorite town/city in Kanto?,What is your favorite Pokemon from Johto?,Who is your favorite Johto Gym Leader,Who is your favorite Johto Elite Four,What is your favorite town/city in Johto?,What is your favorite Pokemon from Hoenn?,Who is your favorite gym leader from Hoenn?,Who is your favorite Elite Four member from Hoenn?,Who is your favorite Frontier Brain from Hoenn?,What is your favorite town/city in Hoenn?,Column25,What is your favorite Pokemon from Sinnoh?,Who is your favorite Gym Leader from Sinnoh?,Column28,Who is your favorite Elite Four Member from Sinnoh?,Who is your favorite Frontier Brain from Sinnoh?,What is your favorite town/city in Sinnoh?,What is your favorite Pokemon from Unova?,Who is your favorite Gym Leader from Unova?,Who is your favorite Member of the Elite Four from Unova?,What is your favorite town/city from Unova?,What is your favorite Pokemon from Kalos?,Who is your favorite Gym Leader from Kalos?,Who is your favorite Member of the EIite Four in Kalos?,What is your favorite city/town in Kalos?,What is your favorite Pokemon from Alola?,Who is your favorite Trial Captain from Alola?,What is your favorite town/city in Alola?,WhatisyourfavoriteNormalType?,FightingType?,FlyingType,Poison Type?,Ground Type?,Rock Type?,Bug Type?,Ghost Type?,Steel Type?,Fire Type?,Water Type?,Grass Type?,Electric Type?,Psychic Type?,Ice Type?,Dragon Type?,Dark Type?,Fairy Type?,Kanto Starter?,Johto Starter?,Hoenn Starter?,Sinnoh Starter?,Unova Starter?,Kalos Starter?,Alola Starter?,Fossil,Column1,Eeveelution?,Kanto Elemental Bird Trio,Johto Beasts Trio,Johto Tower Duo,Hoenn Weather Trio,Hoenn Golem Trio,Sinnoh Creation Trio,Sinnoh Lake Guardians,Unova Musketeers,Unova Forces of Nature,Unova Tao Trio,Kalos Aura Trio,Alola Island Guardians,Alola Ultra Beasts,Mythics,Solgaleo or Lunala,Latias or Latios
7/2/2017 17:15:47,Oshawott,Bidoof,"Blue, Yellow, Sapphire, Emerald, Fire Red, Leaf Green, Pearl, Platinum, SoulSilver, Black, White, White 2, X, Y, Alpha Sapphire, Sun",Black,Water,Fairy,Blastoise,Blaine,Lance,Fuchsia,Suicune,Chuck,Karen,Blackthorn,Sceptile,Norman,Drake,Brandon,Verdanturf,533,Darkrai,Crasher Wake,781,Flint,Palmer,Snowpoint,Samurott,Drayden,Shauntal,Undella,Hoopa,Wulfric,Siebold,Lumiose,Decidueye,Mallow,Paniola,,,,,,,,,,,,,,,,,,,Squirtle,Totodile,Treecko,Piplup,Oshawott,Chespin,Rowlet,Plume (Archen),227,Glaceon,Articuno,Suicune,Ho-oh,Kyogre,Registeel,Giratina,Azelf,Keldeo,Tornadus,Reshiram,Yveltal,Tapu Koko,Nihilego,Victini,Solgaleo,Latias
7/1/2017 13:55:23,Blaziken,Luvdisc,"Red, Gold, Crystal, Ruby, Sapphire, Emerald, Fire Red, Leaf Green, Diamond, Pearl, Platinum, SoulSilver, White, White 2, X, Omega Ruby, Sun",Platinum,Water,Ice,Mewtwo,Giovanni,Agatha,Celadon,Skarmory,Falkner,Koga,Ecruteak,Blaziken,Wallace,Phoebe,Lucy,Mossdeep,223,Luxray,Volkner,781,Lucian,Palmer,Resort Area,Galvantula,Cheren,Grimsley,Nacrene,Xerneas,Korrina,Siebold,Cyllage,Silvally,Ilima,Malie,Silvally,Virizion,Braviary,Salazzle,Groudon,Aggron,Vikavolt,Giratina,Metagross,Blaziken,Golisopod,Sceptile,Luxray,Jirachi,Articuno,Rayquaza,Absol,Xerneas,Bulbasaur,Totodile,Torchic,Turtwig,Snivy,Chespin,Rowlet,Old Amber (Aerodactyl),615,Sylveon,Zapdos,Suicune,Ho-oh,Rayquaza,Regice,Giratina,Azelf,Virizion,Thundurus,Reshiram,Xerneas,Tapu Fini,Kartana,Jirachi,Solgaleo,Latios
7/1/2017 7:41:52,Reuniclus,Drowzee,"Blue, HeartGold, Black, White, White 2, X, Omega Ruby, Sun",X,Psychic,Ground,Arcanine,Blaine,Lance,Saffron,Sentret,Pryce,Will,Ecruteak,Absol,Wallace,Glacia,Anabel,Lavaridge,533,Bidoof,Volkner,277,Lucian,Dahlia,Jubilife,Reuniclus,Iris,Caitlin,Opelucid,Meowstic,Korrina,Siebold,Camphrier,Xurkitree,Mallow,Malie,Minccino,Lucario,Staraptor,Garbodor,Diggersby,Omanyte,Sewaddle,Chandelure,Lucario,Arcanine,Oshawott,Cottonee,Xurkitree,Reuniclus,Snorunt,Goomy,Absol,Cottonee,Bulbasaur,Totodile,Torchic,Piplup,Oshawott,Chespin,Rowlet,Helix (Omanyte),197,Flareon,Articuno,Entei,Ho-oh,Kyogre,Registeel,Dialga,Azelf,Cobalion,Tornadus,Reshiram,Xerneas,Tapu Fini,Xurkitree,Jirachi,Solgaleo,Latias
7/1/2017 5:55:20,Poliwhirl,Phione,"Red, Blue, Yellow, Platinum, HeartGold, White, White 2, Y, Alpha Sapphire, Moon",White,Water,Rock,Poliwhirl,Blue,Lance,Celadon,Skarmory,Pryce,Will,Goldenrod,Mawile,Wallace,Phoebe,,Mauville,287,Dusknoir,Volkner,379,Bertha,,Jubilife,Reuniclus,Drayden,Shauntal,Castelia,Spritzee,Clemont,Drasna,Lumiose,Dartrix,Nanu,Paniola,Skiddo,Darmanitan,Skarmory,Nihilego,Camerupt,Crustle,Gliscor,Dusknoir,Mawile,Chimchar,Poliwhirl,Dartrix,Ampharos,Reuniclus,Swinub,Giratina,Honchkrow,Spritzee,Squirtle,Totodile,Treecko,Chimchar,Oshawott,Froakie,Rowlet,Sail (Amaura),267,Glaceon,Articuno,Suicune,Ho-oh,Kyogre,,Giratina,Azelf,Cobalion,Landorus,Zekrom,Xerneas,Tapu Fini,Nihilego,Shaymin,Cosmog,Latias
7/1/2017 3:06:48,,,"Gold, Emerald, Fire Red, Pearl, SoulSilver, White, X, Alpha Sapphire, Moon",White,Fairy,Ground,Farfetch'd,Misty,Lance,Lavender,Ampharos,Clair,Bruno,Goldenrod,Sceptile,Wallace,Drake,Lucy,Fortree,51,Empoleon,Crasher Wake,781,Aaron,Thorton,Snowpoint,Vanilluxe,Iris,Caitlin,Nimbasa,Noivern,Olympia,Siebold,Lumiose,Primarina,Nanu,Po Town,Farfetch'd,Lucario,Skarmory,Seviper,Garchomp,Tyrantrum,Volcarona,Dusknoir,Aggron,Talonflame,Empoleon,Sceptile,Lanturn,Alakazam,Vanilluxe,Noivern,Hydreigon,Sylveon,Squirtle,Cyndaquil,Treecko,Piplup,Snivy,Fenniken,Popplio,Jaw (Tyrunt),459,Sylveon,Articuno,Raikou,Lugia,Kyogre,Regice,Dialga,Mesprit,Virizion,Thundurus,Zekrom,Xerneas,Tapu Bulu,Kartana,Deoxys,Lunala,Latios
6/30/2017 21:21:03,Swampert,Bidoof,"Red, Yellow, Gold, Silver, Crystal, Sapphire, Emerald, Fire Red, Diamond, Platinum, HeartGold, Black, Black 2, X, Y, Alpha Sapphire, Sun, Moon",Emerald,Ground,Fire,Pinsir,Erika,Bruno,Fuchsia,Ampharos,Clair,Karen,Goldenrod,Swampert,Wattson,Phoebe,Lucy,Sootopolis,533,Gliscor,Crasher Wake,150,Bertha,Dahlia,Sunyshore,Litwick,Elesa,Shauntal,Accumula,Pangoro,Valerie,Drasna,Snowbelle,Type: Null,Acerola,Po Town,Snorlax,Conkeldurr,Togekiss,Toxapex,Swampert,Aggron,Pinsir,Litwick,Registeel,Cyndaquil,Swampert,Rotom-Mow,Ampharos,Gardevoir,nintales,Salamence,Absol,Magearna,Bulbasaur,Cyndaquil,Mudkip,Turtwig,Oshawott,Fenniken,Rowlet,Old Amber (Aerodactyl),615,Jolteon,Articuno,Entei,Ho-oh,Rayquaza,Registeel,Dialga,Azelf,Terrakion,Tornadus,Kyurem,Yveltal,Tapu Lele,Xurkitree,Deoxys,Cosmog,Latias
6/30/2017 20:00:26,Sceptile,Burmy,"Crystal, Emerald, Fire Red, Leaf Green, Diamond, Platinum, SoulSilver, White, White 2, X, Alpha Sapphire, Moon",SoulSilver,Dark,Poison,Zapdos,Giovanni,Lance,Saffron,Typhlosion,Jasmine,Koga,Ecruteak,Sceptile,Flannery,Drake,Lucy,Lavaridge,533,Garchomp,Byron,781,Aaron,Palmer,Sunyshore,Chandelure,Roxie,Grimsley,Castelia,Greninja,Clemont,Malva,Snowbelle,Decidueye,Acerola,Konikoni,Snorlax,Lucario,Hawlucha,Crobat,Donphan,Lycanroc,Golisopod,Gengar,Aegislash,Typhlosion,Greninja,Sceptile,Pikachu,Mewtwo,Ninetales,Rayquaza,Umbreon,Mimikyu,Charmander,Cyndaquil,Treecko,Piplup,Oshawott,Froakie,Rowlet,Old Amber (Aerodactyl),267,Umbreon,Zapdos,Entei,Lugia,Rayquaza,Registeel,Giratina,Azelf,Cobalion,Thundurus,Zekrom,Xerneas,Tapu Fini,Buzzwole,Darkrai,Lunala,Latios
6/30/2017 18:02:28,Electivire,,"Red, Yellow, Emerald, Leaf Green, Diamond, Platinum, SoulSilver, Black, White, Black 2, X, Omega Ruby, Sun",SoulSilver,Steel,Normal,Arcanine,Brock,Lance,Pewter,Politoed,Chuck,Karen,Ecruteak,,Wattson,Sidney,Spenser,Sootopolis,83,Electivire,Crasher Wake,846,Flint,Palmer,Canalave,Maractus,Marlon,Grimsley,Virbank,Gogoat,Wulfric,Drasna,Lumiose,Mimikyu,Hala,Malie,Minccino,Buzzwole,Staraptor,Croagunk,Mudsdale,Tyranitar,Volcarona,Gengar,Aggron,Infernape,Swampert,Maractus,Electivire,Gallade,Sandslash,Rayquaza,Incineroar,Mimikyu,Charmander,Cyndaquil,Mudkip,Chimchar,Tepig,Chespin,Litten,Armor (Shieldon),459,Jolteon,Zapdos,Raikou,Lugia,Rayquaza,Registeel,Giratina,Mesprit,Virizion,Tornadus,Reshiram,Zygarde,Tapu Koko,Buzzwole,Shaymin,Solgaleo,Latios
6/30/2017 17:30:18,Aggron,Sunkern,"Red, Yellow, Silver, Crystal, Sapphire, Emerald, Leaf Green, Pearl, Platinum, SoulSilver, Black, Black 2, X, Y, Omega Ruby, Alpha Sapphire, Sun, Moon",Moon,Steel,Poison,Snorlax,Lt. Surge,Lance,Cinnabar,Heracross,Clair,Koga,Goldenrod,Aggron,Flannery,Drake,Noland,Pacifidlog,223,Torterra,Gardenia,846,Flint,Dahlia,Hearthome,Escavalier,Skyla,Grimsley,Mistralton,Aegislash,Korrina,Wikstrom,Lumiose,Golisopod,Olivia,Hau'oli,Snorlax,Heracross,Talonflame,Muk,Palossand,Aggron,Heracross,Aegislash,Aggron,Charizard,Lapras,Torterra,Electrode,Reuniclus,Crabominable,Garchomp,Bisharp,Sylveon,Charmander,Totodile,Mudkip,Turtwig,Snivy,Froakie,Rowlet,Jaw (Tyrunt),615,Sylveon,Zapdos,Raikou,Lugia,Kyogre,Registeel,Palkia,Azelf,Terrakion,Landorus,Zekrom,Xerneas,Tapu Koko,Necrozma,Deoxys,Lunala,Latios
6/30/2017 17:11:55,Delphox,Binacle,"Gold, Silver, Ruby, HeartGold, White, White 2, X, Omega Ruby, Sun",Sun,Fire,Poison,Articuno,Janine,Lance,Celadon,Typhlosion,Jasmine,Karen,Goldenrod,Mawile,Flannery,Phoebe,Lucy,Slateport,0,Floatzel,Candice,257,Lucian,Dahlia,Sunyshore,Meloetta,Skyla,Grimsley,Nimbasa,Delphox,Valerie,Wikstrom,Laverre,Oricorio,Mallow,Seafolk,Meloetta,Lucario,Articuno,Roserade,Flygon,Aurorus,Vivillon,Aegislash,Mawile,Delphox,Floatzel,Roserade,Emolga,Delphox,Froslass,Latias,Absol,Xerneas,Charmander,Cyndaquil,Torchic,Chimchar,Tepig,Fenniken,Litten,Sail (Amaura),363,Glaceon,Articuno,Suicune,Ho-oh,Groudon,Regice,Dialga,Azelf,Virizion,Thundurus,Reshiram,Xerneas,Tapu Fini,Kartana,Meloetta,Solgaleo,Latias
